capture,condition,channel,window_start_sec,quality_score,quality_gate,quality_state,valid,activity,calmness,tension,rhythmic_density,register,harmonic_stability,velocity_factor,note_probability,rms_uV,alpha_beta_ratio,beta_over_alpha_beta,theta_alpha_ratio,slow_power,fast_power,dominant_band
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,8.704,1.0,1.0,clean,True,0.28191340558366845,0.2785300784354705,0.6292166191861059,0.2525431469810495,0.6020946418860358,0.27108986817807607,0.5221653275413937,0.3520345175848396,32.40995938165056,0.35505121949338275,0.7379794841752283,2.7723533040511246,0.4777430689060827,0.4861622378259924,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,8.96,1.0,1.0,clean,True,0.28813066693053074,0.2742376894673649,0.634058041052739,0.25714471131375427,0.6056694143807695,0.2653951446363669,0.5270840050268117,0.3557157690510034,30.646102995690264,0.35253047353385053,0.7393548755911155,2.421192252999986,0.48137715252920366,0.48235912630961103,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,9.216,0.9896227401482629,1.0,clean,True,0.29427996111640164,0.2715815840592155,0.6394204899076347,0.2618897812595325,0.6099459580295556,0.261420566819193,0.531258103250679,0.359511825007626,30.67580966583431,0.35716622836332335,0.7368294163925501,2.3925499107610895,0.4492710354370725,0.5150401643544695,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,9.472,0.9733883541756583,1.0,clean,True,0.3001460589822057,0.2694050574196839,0.6449992088547465,0.2668428843643115,0.6146520230612135,0.2582300013776005,0.5348234030384641,0.3634743074914492,30.682108360845152,0.35595559580822256,0.7374872769315882,2.3193434172730214,0.4237697375000345,0.539995241623446,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,9.728,0.9676862333814975,1.0,clean,True,0.3050214888653429,0.2652449461268908,0.6515902948434928,0.2714365457003912,0.6198281067601883,0.2538975220791099,0.5376277163745002,0.367149236560313,30.66088176410407,0.3370257713218664,0.7479287396264016,2.3763410953232635,0.41541629224625415,0.5496663788162041,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,9.984,0.9541877395668446,1.0,clean,True,0.30799374246528105,0.25713934139016315,0.6601708617446509,0.2755965971688062,0.6258500958748494,0.24743604723433146,0.5388870430807982,0.37047727773504496,30.028518472683476,0.3011880770681187,0.7685284069357136,2.7436383881559867,0.4152541694661249,0.5521174967215993,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,10.24,1.0,1.0,clean,True,0.30140197250730066,0.25949151531970055,0.6566683389560151,0.27221477563346147,0.6229567840273248,0.2521190369179404,0.5331506142696885,0.36777182050676915,26.522841523957986,0.36414494061598335,0.7330599338961463,3.6002406374600016,0.4795970928784916,0.4837588052079589,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,10.496,1.0,1.0,clean,True,0.2918415787115919,0.26370542479021497,0.6499685440485796,0.2666728996376411,0.6177529513661106,0.2585451289373347,0.5253749244082688,0.3633383197101129,24.655803618963933,0.3832205116497602,0.7229505285459515,3.5397650231590303,0.5150349686576544,0.4465087612202958,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,10.752,1.0,1.0,clean,True,0.2841195388331587,0.26150240910835404,0.647543678560037,0.26277898010575185,0.6148433411208445,0.2588174733261284,0.519461595824873,0.36022318408460147,24.667290027511253,0.341428753526374,0.7454738072105578,3.3132299950164064,0.5337168725140039,0.42982357448302155,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,11.008,1.0,1.0,clean,True,0.27845814634654303,0.2582492722246031,0.6457398196300995,0.26029710022822367,0.6118923379403414,0.257408300142362,0.5154272296861344,0.35823768018257895,24.888219855183237,0.3296947072617147,0.752052327900739,2.94553929854339,0.5430437558108724,0.4190195488774978,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,11.264,1.0,1.0,clean,True,0.27578992389861284,0.26048438711193483,0.6423266843685809,0.2582364280368566,0.609019622724119,0.2589450193050032,0.5136567933466851,0.3565891424294853,25.680043013180732,0.3653037425516496,0.7324377490712087,2.5190880885732576,0.5278229646585575,0.4338041692392577,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,11.52,1.0,1.0,clean,True,0.27384002864843165,0.2658285122465312,0.6378282978100411,0.2560786885252058,0.6060255867460949,0.26248179776826563,0.5122384185174944,0.35486295082016467,25.620096610054688,0.39421707373387405,0.7172484248199545,2.210808805954982,0.5202825563049412,0.4409439774982122,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,11.776,1.0,1.0,clean,True,0.2735199191509674,0.26894545916839785,0.6363111523082152,0.2556402089556846,0.6053683712313314,0.2643921391109832,0.5116697193425149,0.3545121671645477,25.66804730091192,0.38660828626703514,0.7211842089050846,2.2026653328299233,0.5000337594491672,0.4616314575034188,delta
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,12.032,1.0,1.0,clean,True,0.27448583173083474,0.2643870536489592,0.6419988086714389,0.2596363082635371,0.6096313888306248,0.2610564474913618,0.5106173536204067,0.3577090466108297,24.304057995520388,0.33324818826239616,0.750047897156439,1.911222224358498,0.44769993195510005,0.5117066273872364,gamma
20260528-104617_bench_real_rest_60s,bench_real_rest_60s,0,12.288,0.9886657549554272,1.0,clean,True,0.27620418314707834,0.2636474424628491,0.6459532585877307,0.26746449041931647,0.6160663091006848,0.26162211839893007,0.5083405919992141,0.3639715923354532,21.978448272883824,0.35373931159495337,0.7386946596218464,1.3523066079259989,0.3672702639132946,0.57657234887335,gamma
