capture,condition,channel,window_start_sec,window_end_sec,rms_uV,ptp_uV,line_50_ratio_1_50,spectral_entropy_0p5_40,quality_score,quality_warnings,peak_freq,peak_delta,peak_theta,peak_alpha,peak_beta,peak_gamma,delta_abs,delta_rel,theta_abs,theta_rel,alpha_abs,alpha_rel,beta_abs,beta_rel,gamma_abs,gamma_rel,alpha_beta_ratio,theta_alpha_ratio,slow_power_rel,fast_power_rel
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,12.032,16.032,82.51343526965775,556.0,0.02813176582387013,0.5258920282796523,1.0,,0.75,0.75,4.0,12.5,23.0,49.5,5.446272917283798e-09,0.8799157518499007,2.1053897161007366e-10,0.034015290880864496,1.783608226952795e-11,0.0028816495204348866,1.5058700716328166e-10,0.024329276486751712,3.6430408360483414e-10,0.058858031262048284,0.11844369979534997,11.804104086790904,0.9139310427307652,0.0831873077488
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,12.288,16.288,81.4454786958736,556.0,0.03479498559287288,0.5195786961655268,1.0,,0.75,0.75,4.0,12.5,28.75,49.25,5.1933613434880785e-09,0.8776486193030503,2.0452168267710292e-10,0.03456300467984334,1.7259701541244236e-11,0.002916791693350907,1.3953276021942302e-10,0.023580245289050204,3.626828138648826e-10,0.0612913390347051,0.12369641017709673,11.84966508188873,0.9122116239828936,0.0848715843237553
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,12.544,16.544,81.07420674912584,556.0,0.03843044882578245,0.5452856423044823,1.0,,0.5,0.5,4.0,13.0,28.75,49.25,4.771663713377227e-09,0.8523317415128954,2.694323488492535e-10,0.04812697560198736,3.389847938965463e-11,0.0060550683594536,1.5877884690011076e-10,0.028361648939002254,3.645910521972808e-10,0.06512456558666135,0.21349493368584843,7.948213421380806,0.9004587171148827,0.09348621452566361
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,12.8,16.8,67.75398881246771,540.0,0.03921188292992112,0.6394016520266069,1.0,,0.5,0.5,4.0,9.0,30.0,49.5,2.65592629620444e-09,0.7767753678788004,2.7103432105200805e-10,0.0792690613229083,4.167144042530686e-11,0.012187592898442248,1.43100621641838e-10,0.04185245583748964,3.074363700982232e-10,0.08991552206235923,0.29120376939804626,6.504078531622109,0.8560444292017088,0.13176797789984887
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,13.056,17.056,174.35056065295575,1273.0,0.032667221850113774,0.571072327286761,0.8641235983676107,high_rms,0.25,0.5,4.0,8.0,26.5,49.25,1.0144939896672836e-08,0.8382710769880071,7.929968110430034e-10,0.06552491169110679,1.2439198091519837e-10,0.010278444315343162,2.8721346834873097e-10,0.023732298652366864,7.52676534764474e-10,0.06219326835317614,0.4330994003532007,6.3749833808307335,0.9037959886791138,0.085925567005543
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,13.312,17.312,179.91081123712382,1273.0,0.01922175426009484,0.5542775289186012,0.8502229719071904,high_rms,0.75,0.75,4.0,8.0,13.5,49.25,1.1133166576928855e-08,0.874065465861742,7.953479262082965e-10,0.06244280554321824,1.2533128900588245e-10,0.009839765780473807,2.1031473665173166e-10,0.016511820513853807,4.730622671575432e-10,0.03714014230071214,0.5959225254549013,6.345964623175357,0.9365082714049603,0.05365196281456594
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,13.568,17.568,179.61717345510147,1273.0,0.011681835723142617,0.5342951766546917,0.8509570663622463,high_rms,1.0,1.0,4.0,8.0,29.75,49.5,1.0624246395593806e-08,0.9018478970927692,5.869620726169364e-10,0.049824758496031775,9.297852009098654e-11,0.007892558182162468,1.7926220315404724e-10,0.01521681961458862,2.970810175101986e-10,0.025217966614447876,0.5186733090136483,6.312878200712912,0.951672655588801,0.0404347862290365
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,13.824,17.824,177.8675996352343,1253.0,0.008578488168668182,0.5229592228522969,0.8553310009119142,high_rms,1.0,1.0,4.0,8.0,26.5,49.5,8.194855224830731e-09,0.8924193101278366,5.085721026881573e-10,0.05538347567825437,7.736427544209541e-11,0.008424965594190934,1.833894588624751e-10,0.019971102584810798,2.1855975499822085e-10,0.02380114601490718,0.42185780972346604,6.5737331576097615,0.947802785806091,0.043772248599717976
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,14.08,18.08,177.60851612464984,1253.0,0.01840087237926543,0.5276502635107895,0.8559787096883754,high_rms,0.5,0.5,5.0,8.5,28.25,49.5,6.578075516361059e-09,0.8553372616512672,4.749547323194169e-10,0.06175764919997956,7.576474360407878e-11,0.009851575610958082,2.111303562432005e-10,0.027452962543734277,3.5069659826056376e-10,0.04560055099406078,0.35885291415321424,6.268809339623342,0.9170949108512467,0.07305351353779506
20260523-202451_fp1_fp2_ch1_only_forehead_blink_artifact_30s,fp1_fp2_ch1_only_forehead_blink_artifact_30s,0,14.336,18.336,177.6995469887304,1253.0,0.038328333435734684,0.533131030145782,0.855751132528174,high_rms,0.0,0.5,4.25,8.25,28.25,49.5,4.758015067067218e-09,0.8205504020063156,3.2236788877912583e-10,0.05559442267480781,4.140936785584028e-11,0.0071413127032994165,1.9471016684965537e-10,0.03357902474690595,4.82062783968125e-10,0.08313483786867135,0.2126718318094522,7.7849024380520655,0.8761448246811234,0.1167138626155773
